,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
4057901,7,24,4,1317,1227,1500,1421,12.0,654.0,5328.0,103,114,71,1,50,87.0,96.0,487,6,26,0,39,0,0,0
1957900,4,4,5,1235,1215,1522,1510,14.0,3900.0,1862.0,107,115,87,1,20,254.0,266.0,608,4,16,0,0,0,0,0
1943723,4,10,4,1945,1845,2110,2014,13.0,5202.0,3543.0,85,89,65,1,60,18.0,73.0,373,9,11,0,56,0,0,0
3883419,7,10,4,2250,2210,23,2349,16.0,1860.0,2061.0,153,159,128,1,40,63.0,81.0,936,4,21,0,0,0,0,34
1124546,2,14,4,1508,1500,1834,1816,4.0,425.0,2486.0,206,196,168,1,8,37.0,215.0,1197,3,35,8,0,10,0,0
629753,2,10,7,1426,1415,1729,1730,17.0,804.0,887.0,123,135,109,0,11,80.0,179.0,895,6,8,0,0,0,0,0
4813759,8,18,1,1236,1150,1809,1750,5.0,1711.0,3966.0,213,240,197,1,46,259.0,136.0,1635,9,7,0,0,0,0,19
2089802,4,3,4,1923,1900,1926,1900,17.0,516.0,1652.0,63,60,49,1,23,158.0,2.0,289,3,11,0,0,3,0,23
6981417,12,18,4,622,600,818,811,5.0,1041.0,983.0,176,191,160,0,22,61.0,136.0,1091,7,9,0,0,0,0,0
783560,2,12,2,2023,1955,2259,2235,14.0,6699.0,5311.0,96,100,58,1,28,80.0,298.0,616,24,14,0,0,0,0,24
6819528,12,22,1,1201,1130,1255,1225,11.0,3349.0,4779.0,54,55,38,1,31,292.0,81.0,181,6,10,0,0,0,0,30
5128227,9,27,6,743,730,952,945,6.0,1486.0,5088.0,189,195,155,0,13,162.0,200.0,1183,5,29,0,0,0,0,0
5953734,11,6,4,1045,1030,1141,1130,17.0,1756.0,2346.0,56,60,48,1,15,287.0,76.0,237,2,6,0,0,0,0,0
6562179,12,23,2,1410,1240,1509,1357,18.0,2350.0,317.0,59,77,36,1,90,96.0,48.0,169,3,20,0,0,0,0,72
6441097,11,10,1,1319,1310,1808,1750,5.0,48.0,384.0,229,220,173,1,9,136.0,96.0,1400,15,41,0,0,18,0,0
3229047,6,1,7,1433,1355,1729,1708,15.0,446.0,2450.0,116,133,101,1,38,269.0,80.0,910,6,9,0,0,0,0,21
